 SHA,PCT,PRACTICE,BNF CODE,BNF NAME                                    ,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD,                 
Q49,00P,A89003,0403040W0AAABAB,Venlafaxine_Tab 75mg                    ,10,28.2,26.76,672,201607,                  
Q68,10C,H81620,1302011M0BBAAAE,Emulsiderm_Emollient                    ,1,12,11.13,1000,201607,                  
Q65,11X,L85619,0403040W0BIAAAJ,ViePax XL_Tab 75mg                      ,1,20.88,19.36,56,201607,                  
Q52,02R,B83012,1304000V0AACHCH,Hydrocort/Miconazole Nit_Crm 1%/2%      ,31,86.25,80.32,900,201607,                  
Q54,05Y,M91033,1106000AFAAABAB,Bimatoprost_Eye Dps 100mcg/ml           ,2,23.42,21.73,6,201607,                  
Q61,07L,F82680,21220000101,Epaderm Crm                             ,16,97.15,90.22,6700,201607,                  
Q63,08L,G85020,20030100570,Mepore Film + Pad 4cm x 5cm VP Adh Film ,1,4.8,4.46,20,201607,                  
Q44,01C,N81062,1302011M0BKABAJ,Doublebase_Emollient Shower Gel         ,2,26.05,24.16,1000,201607,                  
Q51,03N,C88016,0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief        ,5,40.67,38.05,3300,201607,                  
Q51,03N,C88049,090402000BBAJA0,Fortisip Bottle_Liq (8 Flav)            ,1,28,25.96,4000,201607,                  
Q54,06A,M92028,0504010Y0AAAFAF,Quinine Sulf_Tab 200mg                  ,6,17.02,15.95,287,201607,                  
Q63,08T,H85618,130201000BBAFA4,Diprobase_Crm                           ,2,12.64,11.74,1000,201607,                  
Q46,02H,P92652,0208020Y0AAABAB,Rivaroxaban_Tab 15mg                    ,1,50.4,46.71,28,201607,                  
Q45,00M,A81047,23600706395,Dansac_NovaLife 1 Midi Ileo Bag Clr C/Fi,1,194.96,180.65,60,201607,                  
Q56,06L,D83046,0409010Z0AAADAD,Rotigotine_Transdermal Patch 8mg/24hrs  ,2,449.79,416.81,84,201607,                  
Q49,13T,A85014,0302000N0AABJBJ,Fluticasone/Formoterol_Inh 125/5mcg 120D,1,28,25.96,1,201607,                  
Q66,11N,L82003,0301020I0BBAJAN,Atrovent_Inha 20mcg (200 D) CFF         ,3,16.68,15.45,3,201607,                  
Q61,07M,E83041,1202010A0AAABAB,Azelastine HCl_Aq Nsl Spy 140mcg (136 D),1,10.5,9.74,1,201607,                  
Q52,02R,B83014,0703021Q0BDAAAA,Cerelle_Tab 75mcg                       ,57,266.31,248.02,6391,201607,                  
Q48,01X,N83017,1108010D0AAACAC,Carmellose Sod_Eye Dps 1% 0.4ml Ud P/F  ,3,27,25.05,270,201607,                  
Q52,02V,B86022,0206020T0AAAHAH,Verapamil HCl_Tab 240mg M/R             ,1,22.2,20.58,112,201607,                  
Q55,04J,C81001,0408010W0AAABAB,Sod Valpr_Tab 100mg                     ,1,1.57,1.57,28,201607,                  
Q58,06F,E81033,0107020J0AAAEAE,Cinchocaine HCl/Hydrocort_Oint 0.5%/0.5%,5,33.37,30.98,150,201607,                  
Q60,05W,M83714,0103010T0AAAAAA,Ranitidine HCl_Tab 150mg                ,2,3.81,3.56,180,201607,                  
Q45,00J,A83618,0407041Z0AAABAB,Zolmitriptan_Orodisper Tab 2.5mg S/F    ,3,6.65,6.17,30,201607,                  
Q70,11A,J82103,0105010B0BBAAAA,Asacol_MR Tab E/C 400mg                 ,5,392.14,363.94,1200,201607,                  
Q61,08W,F86689,1203040E0AAABAB,Chlorhex Glucon_Mthwsh 0.2%             ,1,10.65,9.88,900,201607,                  
Q47,01A,P81104,0906040G0AACBCB,Colecal & Calc_Tab Eff 400u/1.5g (Lem)  ,1,5.99,5.56,56,201607,                  
Q69,10Y,K82073,0103050E0AAAFAF,Esomeprazole_Cap E/C 20mg               ,1,3.4,3.16,28,201607,                  
Q53,05H,M84037,0407041T0AAAFAF,Sumatriptan_Tab 50mg                    ,47,82.55,77.16,406,201607,                  
Q49,01H,A82063,1108010B0BBAAAB,Viscotears_Liq Gel 2mg/g                ,3,4.77,4.46,30,201607,                  
Q59,04D,Y04943,0403030P0AAAAAA,Paroxetine HCl_Tab 20mg                 ,1,2.99,2.88,56,201607,                  
Q56,06V,D82004,0407010H0AAAIAI,Paracet_Oral Susp Paed 120mg/5ml        ,1,0.62,0.69,100,201607,                  
Q62,09A,E87740,0212000B0AAADAD,Atorvastatin_Tab 80mg                   ,4,6.86,6.51,91,201607,                  
Q46,00Y,P85004,0901020G0AAAGAG,Folic Acid_Tab 5mg                      ,35,30.24,29.77,910,201607,                  
Q49,00P,Y05438,0802010G0AAAEAE,Azathioprine_Tab 50mg                   ,1,2.28,2.13,56,201607,                  
Q62,08E,E84693,0109040N0BDABAQ,Creon 25000_Cap E/C                     ,1,56.5,52.37,200,201607,                  
Q65,11X,L85022,21300000173,Hyabak UD Sod Hyaluronate Eye Dps 0.4ml ,2,19.96,18.52,120,201607,                  
Q69,10M,K81050,0209000L0AAAMAM,Dipyridamole_Cap 200mg M/R              ,3,30.18,27.97,180,201607,                  
Q63,07V,H83030,23804108012,Salts_Peri-Prep Sens No-Sting Prote Film,1,15.74,14.59,30,201607,                  
Q55,03Y,C81095,0906027G0AAABAB,Vit B Co Strong_Tab                     ,4,10.85,10.1,196,201607,                  
Q59,04D,C83071,0212000X0AAAAAA,Pravastatin Sod_Tab 10mg                ,24,18.68,18,588,201608,                  
Q70,11J,J81034,21020000309,LoFric Non PVC Nelaton Male 8-22 (30-Pac,1,82.8,76.72,2,201608,                  
Q61,08N,Y00918,1106000ACAAAAAA,Brinzolamide_Eye Dps 10mg/ml            ,7,28.16,26.17,55,201608,                  
Q61,07L,F82015,0408010A0AAAAAA,Levetiracetam_Tab 250mg                 ,5,5.98,6.1,168,201608,                  
Q44,02E,N81041,0302000N0BCAEBF,Seretide 125_Evohaler 125mcg/25mcg(120D),14,560,519.05,16,201608,                  
Q59,04V,C82050,130201000BBBRA1,Hydromol_Crm                            ,19,218.65,202.83,9100,201608,                  
Q46,01W,P88015,1103010B0AAAAAA,Ciprofloxacin_Eye Dps 0.3%              ,1,9.4,8.72,10,201608,                  
Q56,06H,D81023,0603020T0AABHBH,Prednisolone_Tab Solb 5mg               ,5,262.05,243.07,147,201608,                  
Q61,07M,E83016,0906031C0CBAABJ,Lamb_Vit C Time Release Tab 500mg       ,1,2.13,2.09,56,201608,                  
Q55,04K,C84698,0906040G0BQAABW,Calceos_Tab Chble 500mg/400u            ,1,3.58,3.33,60,201608,                  
Q44,01R,N81111,1202010M0AAABAB,Fluticasone Prop_Susp Nsl Dps 400mcg Ud ,1,51.96,48.16,112,201608,                  
Q60,05Q,M83078,1304000V0CGABCH,Daktacort_Crm 2%/1%                     ,9,32.37,30.11,390,201608,                  
Q69,10Y,K82068,0103050P0AAAEAE,Omeprazole_Cap E/C 40mg                 ,5,18.72,17.37,168,201608,                  
Q51,02P,C85033,0408020W0AAADAD,Midazolam_Oromuc Soln 10mg/2ml Pfos S/F ,1,45.75,42.5,2,201608,                  
Q68,09N,H81053,1404000S0BDAAAC,Vivotif_(Oral Vac) Cap                  ,1,14.77,13.69,3,201608,                  
Q52,03C,B86038,0302000C0BPABBF,Clenil Modulite_Inha 100mcg (200D)      ,21,230.02,213.41,31,201608,                  
Q70,11A,J82074,0402010A0AAAAAA,Amisulpride_Tab 200mg                   ,3,14.9,13.91,150,201608,                  
Q62,07P,E84626,0212000Y0AAAAAA,Simvastatin_Tab 10mg                    ,2,2.68,2.51,112,201608,                  
Q53,05A,M86008,0409020S0AAAEAE,Procyclidine HCl_Tab 5mg                ,8,164.45,152.47,364,201608,                  
Q59,03W,C82611,0402010ADBBAAAA,Abilify_Tab 10mg                        ,1,192.08,177.99,56,201608,                  
Q62,08G,E86034,1310020H0AAAAAA,Clotrimazole_Soln 1%                    ,1,2.3,2.14,20,201608,                  
Q50,03F,B81021,0602010V0AABXBX,Levothyrox Sod_Tab 50mcg                ,104,261.26,246.17,4253,201608,                  
Q69,10H,K82621,0205052C0AAACAC,Candesartan Cilexetil_Tab 8mg           ,21,41.73,38.93,1092,201608,                  
Q57,07H,F81120,0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg               ,36,184.48,172.57,4612,201608,                  
Q53,05F,M81044,1106000ACAAAAAA,Brinzolamide_Eye Dps 10mg/ml            ,9,28.16,26.2,55,201608,                  
Q51,02P,C85628,1106000AEAAAAAA,Travoprost_Eye Dps 40mcg/ml             ,1,10.95,10.16,2,201608,                  
Q46,01Y,P89007,0407041T0AAAFAF,Sumatriptan_Tab 50mg                    ,11,17.08,15.97,84,201608,                  
Q49,99C,A87012,1203010E0AAABAB,Benzydamine HCl_Spy 0.15% 30ml S/F      ,9,40.5,37.64,9,201608,                  
Q44,01C,N81069,0604011G0BUAEBL,Estradot_Patch 50mcg/24hrs              ,1,6.02,5.58,8,201608,                  
Q56,06L,D83020,0403040W0AAABAB,Venlafaxine_Tab 75mg                    ,1,2.35,2.18,56,201608,                  
Q46,01M,P84074,0206020R0BBAJAR,Adalat LA 20_Tab 20mg                   ,2,26.35,24.44,140,201608,                  
Q45,RTR,Y03940,20031700103,Medihoney HCS + Border 11cmx11cm Wound D,1,30.6,28.37,10,201608,                  
Q66,99Q,L83005,21220000214,Zerobase Crm (Appl)                     ,13,68.38,63.53,6500,201608,                  
Q49,00P,A89008,0703010F0BPAAAC,Rigevidon_Tab                           ,1,1.89,1.76,63,201608,                  
Q54,05Y,M91008,1311020L0AAAIAI,Chlorhex Glucon_Soln 4%                 ,5,36,33.42,2500,201608,                  
Q46,02H,P92011,0904010H0BJAFAA,Glutafin_G/F Bread Roll x 4 Wte P/Bke   ,3,77.28,71.64,4200,201608,                  
Q55,04R,C81054,0402010J0AAAJAJ,Haloperidol_Tab 1.5mg                   ,1,4.22,4.02,60,201608,                  
Q63,08L,G85717,21270000671,ActiLymph Class 2 B/Knee Closed Toe Blk ,1,28.36,26.29,2,201608,                  
Q69,10Q,K84046,0103050L0BBAEAH,Zoton_FasTab Tab 30mg                   ,1,11,10.2,56,201608,                  
Q46,00T,P82652,0901011P0AAAKAK,Ferr Sulf  Dried_Tab 325mg M/R          ,4,14.63,13.91,170,201608,                  
Q58,06K,E82018,0403040W0AAALAL,Venlafaxine_Tab 225mg M/R               ,12,349.44,324.25,312,201608,                  
Q61,08W,F86011,0704020ABAAAAAA,Solifenacin_Tab 5mg                     ,11,294.6,273.72,320,201608,                  
Q55,04E,C84076,0504010Y0AAAHAH,Quinine Sulf_Tab 300mg                  ,2,3.84,3.58,56,201608,                  
Q61,08D,F85628,130201000AAA6A6,White Soft Paraf/Liq Paraf_(S) 50%/50%  ,2,9.14,8.49,1000,201608,                  
Q65,11T,L81643,0408010AEBEACAC,Alzain_Cap 75mg                         ,1,45.08,41.78,56,201608,                  
Q58,04F,K82610,0206010K0AAACAC,Isosorbide Mononit_Tab 20mg             ,9,60,55.82,588,201608,                  
Q47,00R,P81092,0102000J0AAABAB,Dicycloverine HCl_Tab 10mg              ,1,309.54,286.92,168,201608,                  
Q54,13P,M85028,0902021S0BFADAB,Mini-Plasco_Sod Chlor Inj 0.9% 5ml Amp  ,1,8.96,8.31,20,201608,                  
Q70,11J,J81058,0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F   ,17,93.66,87.44,7000,201608,                  
Q48,01F,N81019,0905041R0AAABAB,Zn Sulf Monohyd_Eff Tab 125mg           ,5,54.82,51.16,330,201608,                  
Q60,05W,M83100,1003020AAAAABAB,Capsaicin_Crm 0.025%                    ,3,53.13,49.26,135,201608,                  
Q51,03N,C88027,20030900199,Allevyn Life Sacrum 17.2cm x 17.5cm Woun,1,45.1,41.79,10,201608,                  
Q53,05H,M84627,21220000213,QV Skin Lot                             ,1,6.34,5.89,500,201608,                  
Q63,07N,G83010,1308010W0AAAAAA,Diclofenac Sod_Gel 3%                   ,3,114.9,106.5,150,201608,                  
Q58,04G,K83065,1108010F0BDAAA4,Tears Naturale_Eye Dps                  ,1,1.89,1.75,15,201608,                  
Q60,05W,M83094,0303020G0AAABAB,Montelukast_Tab 10mg                    ,34,70.59,65.83,1092,201608,                  
Q58,06P,E81065,0408010A0AAABAB,Levetiracetam_Tab 500mg                 ,1,26.8,24.84,480,201608,                  
Q46,01Y,P89022,0206010F0BBABCJ,Coro-Nitro_P/Spy 400mcg (200 D)         ,3,10.32,9.6,3,201608,                  
Q54,05L,M85019,1312000C0AAASAS,Alum Chlor_Soln 20%                     ,1,10.53,9.77,60,201608,                  
Q47,01K,P81011,0601021M0BIAAAR,Zicron_Tab 40mg                         ,1,13.44,12.47,112,201608,                  
Q60,05G,M83108,0602010V0AABXBX,Levothyrox Sod_Tab 50mcg                ,162,298.11,278.25,4853,201608,                  
Q47,01K,P81013,0601021A0AAADAD,Glimepiride_Tab 4mg                     ,20,33.86,32.64,906,201608,                  
Q69,10M,K81057,0408010C0BBAFAH,Tegretol Prolonged Release_Tab 400mg M/R,1,10.24,9.5,56,201608,                  
Q52,02T,B84005,0403030D0AAABAB,Citalopram Hydrob_Tab 10mg              ,97,92.04,90.28,2923,201608,                  
Q69,10Y,K82073,0703050A0BCADAB,Levonelle_Tab 1.5mg                     ,2,10.4,9.66,2,201608,                  
Q53,05H,M84612,0602010V0AABZBZ,Levothyrox Sod_Tab 100mcg               ,61,112.87,105.73,1848,201608,                  
Q46,02A,P91009,21010900600,BD Microfine+ Needles Pen Inj Screw On 5,22,242.25,224.73,2500,201608,                  
Q51,03N,C88020,1304000F0AAABAB,Betameth Val_Crm 0.025% (1 in 4)        ,10,31.5,29.3,1000,201609,                  
Q49,00N,A88611,0407020A0BBAJAF,Durogesic DTrans_T/Derm Patch 50mcg     ,1,134.64,124.75,20,201609,                  
Q46,01G,P87624,040201060AAAQAQ,Olanzapine_Tab 20mg                     ,1,2.94,2.74,56,201609,                  
Q51,02X,C86029,21220000205,Hydromol Oint                           ,1,4.89,4.54,500,201609,                  
Q62,08G,E86019,0205051R0AAACAC,Ramipril_Cap 5mg                        ,98,147.46,141.42,3892,201609,                  
Q54,RYW,Y03942,20100000732,Transpore 5cm x 5m Surg Adh Tape Perm No,2,14.8,13.74,10,201609,                  
Q67,09W,G82744,0601012F0BBABAB,Ins Humalog Mix 25_100u/ml 3ml Cart     ,2,58.92,54.61,10,201609,                  
Q54,05C,M87628,0407041A0BBABAG,Migraleve_Pink Tab                      ,1,6.45,6.09,30,201609,                  
Q58,04G,K83049,0409010H0AAAHAH,Ropinirole HCl_Tab 500mcg               ,1,42,38.92,84,201609,                  
Q60,05W,M83082,0601012S0BGAFAI,Ins Humulin I_KwikPen 100u/ml 3ml Pf Pen,1,21.7,20.12,5,201609,                  
Q70,10X,J82081,130201000BBBAAL,E45_Crm                                 ,16,71.66,66.61,5550,201609,                  
Q59,03W,C82010,0501013B0AAASAS,Amoxicillin_Oral Susp 125mg/5ml S/F     ,6,6.36,5.96,600,201609,                  
Q49,00N,A88611,0704020ADAAAAAA,Fesoterodine Fumar_Tab 4mg M/R          ,7,180.46,167.28,196,201609,                  
Q50,03F,B81002,0406000B0AAAAAA,Betahistine HCl_Tab 8mg                 ,4,4.03,3.88,273,201609,                  
Q60,05X,M82009,21070630140,Acti-Glide Compress Hose Applic System  ,1,14.62,13.56,1,201609,                  
Q67,99J,G82016,0402030Q0AAABAB,Valproic Acid_Tab G/R 500mg             ,3,106.12,98.65,280,201609,                  
Q61,08H,F83021,0408010G0AABGBG,Gabapentin_Oral Soln 50mg/ml S/F        ,2,552,511.43,1200,201609,                  
Q53,05T,M81094,0906026M0AAAFAF,Thiamine HCl_Tab 50mg                   ,10,12,12.02,168,201609,                  
Q58,03V,K83607,0604020K0BHAABH,Testogel_Gel Sach 50mg/5g               ,1,31.11,28.83,30,201609,                  
Q52,02T,B84623,1001030L0AAAAAA,Leflunomide_Tab 10mg                    ,1,11.7,10.85,60,201609,                  
Q61,08W,F86625,0501050B0AAAAAA,Clarithromycin_Tab 250mg                ,2,4.14,3.86,42,201609,                  
Q57,06T,F81019,21200000137,ActiLymph Hose Kit Exlge Stkn + Compress,1,30.2,27.99,1,201609,                  
Q56,06H,D81631,0407020C0AAAEAE,Codeine Phos_Tab 30mg                   ,16,59.84,55.85,1496,201609,                  
Q60,05X,Y01929,110801000BLAQA0,Blephaclean_Eye Lid Wipe                ,1,5.34,4.96,20,201609,                  
Q63,07V,H83033,1001010C0AAAEAE,Diclofenac Sod_Tab E/C 50mg             ,3,22.89,21.24,196,201609,                  
Q54,05Y,M91007,1203020H0BBAAAA,Daktarin_Oromucosal Gel 20mg/g S/F      ,1,4.38,4.07,80,201609,                  
Q46,00Y,P85001,0407020A0AAAUAU,Fentanyl_Transdermal Patch 12mcg/hr     ,1,12.59,11.68,5,201609,                  
Q67,09W,G82763,0205051L0AAACAC,Lisinopril_Tab 10mg                     ,42,36.68,34.9,1316,201609,                  
Q49,00N,A88608,0409010K0BBAJAE,Madopar_Tab Disper 50mg/12.5mg          ,2,12.51,11.72,212,201609,                  
Q65,11H,L81131,0904010I0BTADBJ,Juvela_G/F Savoury Bisc                 ,1,3.82,3.55,150,201609,                  
Q47,01A,P81047,1106000B0AAACAC,Acetazolamide_Tab 250mg                 ,1,10.68,10.01,28,201609,                  
Q57,99G,F81733,0601060D0CLAAA0,Contour (Reagent)_Strips                ,1,9.95,9.23,50,201609,                  
Q51,03N,C88007,23800298006,Aspen_Sorbaderm Barrier Crm 28g         ,2,14.24,13.22,4,201609,                  
Q54,13P,M85060,0403040X0AAANAN,Mirtazapine_Tab 15mg                    ,21,36.65,34.5,834,201609,                  
Q67,99J,G82083,0302000N0BDAABJ,Flutiform_Inha 125/5mcg (120 D)         ,3,84,77.86,3,201609,                  
Q46,01M,P84033,20030100150,Ster Dress Pack                         ,1,5.4,5,10,201609,                  
Q61,08W,Y02585,0205052N0AAAAAA,Losartan Pot_Tab 25mg                   ,1,1.62,1.51,56,201609,                  
Q69,10H,K82023,1001010C0AAARAR,Diclofenac Sod_Cap E/C 25mg/50mg M/R    ,1,8,7.42,56,201609,                  
Q45,00K,A81060,0704050R0AAAAAA,Tadalafil_Tab 10mg                      ,1,28.88,26.77,4,201609,                  
Q56,07J,D82044,23941009348,Coloplast_SenSura Click M/chamb Urost Ba,2,174.12,161.31,60,201609,                  
Q57,06Q,F81087,21010900776,Microdot Droplet Needles Pen Inj Screw O,2,11.9,11.04,200,201609,                  
Q52,02R,B83056,090402000BBRBA0,Complan_Shake Pdr Sach 57g (Banana)     ,4,86.8,80.46,124,201609,                  
Q63,07N,G83024,0501130R0AAADAD,Nitrofurantoin_Tab 50mg                 ,1,16,14.84,28,201609,                  
Q58,04G,K83058,0702020E0AAAAAA,Clindamycin Phos_Vag Crm 2% + Applic    ,1,10.86,10.07,40,201609,                  
Q51,02P,C85023,0203020I0AAADAD,Flecainide Acet_Tab 100mg               ,5,88.92,82.54,412,201609,                  
Q47,00X,P81057,040201060AAAAAA,Olanzapine_Tab 5mg                      ,15,14.95,14.52,455,201609,                  
Q51,03N,C88016,1106000ADAAAAAA,Latanoprost/Timolol_Eye Dps 50mcg/5mg/ml,1,2.22,2.07,2,201609,                  
Q44,01R,N81016,0402010D0AAAJAJ,Chlorpromazine HCl_Tab 50mg             ,1,3.54,3.29,56,201609,                  
Q51,02X,C86001,0604011L0BHACAY,Evorel Sequi_Patch                      ,1,33.27,30.85,24,201609,                  
Q54,05C,M87612,0107010Z0BCACAG,Anusol_Suppos                           ,1,3.91,3.63,24,201609,                  
Q44,12F,N85006,0401020K0AAAHAH,Diazepam_Tab 2mg                        ,33,41.75,40.5,1579,201609,                  
Q55,04K,C84011,0302000N0AABEBE,Fluticasone/Salmeterol_Inh 50/25mcg 120D,1,36,33.36,2,201609,                  
Q49,01H,A82053,090401000BBLPA0,Nutramigen 2 LIPIL_Pdr                  ,2,131.88,122.21,4800,201609,                  
Q53,05F,M81003,21010900700,CarePoint Needles Pen Inj Screw On 6mm  ,1,9.95,9.23,100,201609,                  
Q52,03G,B86002,20030100553,OpSite Post-Op 10cm x 20cm VP Adh Film D,3,40,37.1,20,201609,                  
Q47,01A,P81053,0401010T0AAANAN,Temazepam_Tab 20mg                      ,5,3.4,3.71,35,201609,                  
Q54,06A,Y02757,20100000541,Scanpor 1.25cm x 5m Surg Adh Tape Perm N,1,1.68,1.57,4,201609,                  
Q55,04L,C84066,0106010H0BBAAAC,Celevac_Tab 500mg                       ,1,18.56,17.21,448,201609,                  
Q49,99C,A87615,1003020I0AAAAAA,Diethylamine Sal_Crm 10% BP             ,1,2.98,2.77,100,201609,                  
Q44,12F,N85012,040201060AAABAB,Olanzapine_Tab 7.5mg                    ,1,0.99,0.93,28,201609,                  
Q61,07L,F82679,0101021B0BEADAJ,Gaviscon Infant_Sach 2g (Dual Pack) S/F ,1,8.78,8.15,30,201609,                  
Q57,99E,F81031,0601060D0DDAAA0,Palmdoc iCare Advanced (Reagent)_Strips ,3,29.1,27,150,201609,                  
Q61,07L,F82604,0906040G0CJAACS,Desunin_Tab 800u                        ,1,7.2,6.68,60,201609,                  
Q70,10J,J82625,0411000E0AAAFAF,Rivastigmine_Skin Patch 4.6mg/24hrs     ,1,77.97,72.24,30,201609,                  
Q54,13P,M85081,1304000Y0BBABBA,Elocon_Oint 0.1%                        ,1,4.32,4.01,30,201609,                  
Q58,06K,E82056,22601006003,Coloplast_S2 Urine Drain Bag + Nrv + Stn,2,17.28,16.03,60,201609,                  
Q69,11C,K81084,0409010N0AAAGAG,Co-Careldopa_Tab 25mg/100mg M/R         ,1,21.65,20.17,112,201609,                  
Q61,08D,F85615,0408010G0AAAAAA,Gabapentin_Cap 100mg                    ,8,24.64,23.71,1232,201610,                  
Q58,06F,E81038,0205052C0AAACAC,Candesartan Cilexetil_Tab 8mg           ,8,13.91,12.97,364,201610,                  
Q49,00P,A89035,23803068006,Medicareplus_Medi Derma-S Barrier Crm 28,1,2.98,2.77,1,201610,                  
Q68,09P,G81084,0203020I0AAADAD,Flecainide Acet_Tab 100mg               ,3,28.37,26.42,148,201610,                  
Q65,11X,L85030,1302010Y0AAAAAA,Hydrous_Oint                            ,1,4.89,4.54,500,201610,                  
Q70,10J,J82046,0501130R0AAADAD,Nitrofurantoin_Tab 50mg                 ,3,34.29,32,60,201610,                  
Q54,13P,M85028,0410030C0AAAFAF,Methadone HCl_Mix 1mg/1ml S/F           ,5,16.09,15.46,1276,201610,                  
Q55,04N,C84703,0409030R0AAAAAA,Riluzole_Tab 50mg                       ,1,16.26,15.07,56,201610,                  
Q68,09X,H82100,0404000M0BGAHAY,Medikinet XL_Cap 5mg                    ,1,48.08,44.54,60,201610,                  
Q61,08W,F86644,0202010P0AAADAD,Indapamide_Tab 1.5mg M/R                ,9,26.96,25.48,238,201610,                  
Q57,06Q,F81030,0408010AEBBABAB,Lyrica_Cap 50mg                         ,16,917.7,851.38,798,201610,                  
Q68,09D,Y04141,0601012S0BGAAAE,Ins Humulin I_100u/ml 10ml Vl           ,1,78.4,72.62,5,201610,                  
Q51,03L,C87018,0403030D0AAABAB,Citalopram Hydrob_Tab 10mg              ,35,28.06,26.92,994,201610,                  
Q54,05Y,M91008,0402010ABBFADAY,Ebesque XL_Tab 400mg                    ,1,49.61,46.06,28,201610,                  
Q48,01X,N83026,23603456134,Pelican_Select Afresh Drnbl Pouch Clr St,1,170.92,158.3,60,201610,                  
Q52,03G,B86016,090401080BPAGBD,Barkat_G/F W/F Tagliatelle              ,2,11.76,10.92,1000,201610,                  
Q46,01G,P87659,0408010AEBBAAAA,Lyrica_Cap 25mg                         ,2,128.8,119.41,112,201610,                  
Q56,06L,D83080,110802070BBAAAA,Acular_Ophth Soln 0.5%                  ,1,3,2.78,5,201610,                  
Q66,11N,L82026,23054100502,Salts_Transacryl D/S Plastr 38mm        ,1,20.49,18.98,30,201610,                  
Q61,08N,F86658,0103050P0AABLBL,Omeprazole_Oral Susp 10mg/5ml           ,1,78.97,73.15,150,201610,                  
Q54,05P,M89003,0703010F0BNAAAC,Levest 150/30_Tab                       ,39,122.37,114.13,4283,201610,                  
Q56,06L,D83056,0407010H0AAACAC,Paracet_Oral Susp 250mg/5ml             ,10,148.29,137.55,13240,201610,                  
Q62,08C,E85748,0208020Z0AAAAAA,Apixaban_Tab 2.5mg                      ,4,212.8,197.53,224,201610,                  
Q65,11X,L85066,1304000H0AAAAAA,Clobet But_Crm 0.05%                    ,1,1.86,1.73,30,201610,                  
